time_,read/joint_1,read/joint_2,read/joint_3,read/joint_4,read/joint_5,read/joint_6,read/joint_7,read/joint_8,read/joint_9,read/joint_10,read/joint_11,read/joint_12,read/joint_13,read/joint_14,read/joint_15,read/joint_16,read/joint_17,read/joint_18,read/joint_19,read/joint_20,read/joint_21,read/joint_22,read/joint_23,read/joint_24,read/joint_25,read/joint_26,read/joint_27,read/joint_28,read/joint_29,read/joint_30,read/joint_31,read/joint_32,read/joint_33,read/joint_34,read/joint_35,read/joint_36,read/joint_37,read/joint_38,read/joint_39,read/joint_40,read/joint_41
0.770694,-0.136547,0.081367,0.014542,-0.009381,0.525060,0.043996,-0.149119,0.074779,-0.005450,0.008912,0.525066,0.002903,0.010694,-0.071187,-0.104626,0.511930,-0.054711,-1.841218,-0.102017,0.456693,0.248421,0.576335,2.488615,-2.248233,-0.746463,0.769709,1.440417,1.209117,-1.290762,0.000058,-0.002469,-0.002992,-0.000292,0.002140,-0.000794,-0.000775,-0.000778,-0.000775,-0.000771,0.000599,0.060089
0.772709,-0.136548,0.081367,0.014541,-0.009380,0.525060,0.043996,-0.149121,0.074779,-0.005451,0.008913,0.525066,0.002902,0.010694,-0.071187,-0.104628,0.511930,-0.054711,-1.841215,-0.102011,0.456698,0.248418,0.576336,2.488616,-2.248233,-0.746463,0.769710,1.440403,1.209118,-1.290748,0.000073,0.000369,-0.004139,0.004093,-0.003358,0.006077,-0.000775,-0.000778,-0.000775,-0.000771,0.000599,0.060095
0.774662,-0.136550,0.081367,0.014543,-0.009380,0.525060,0.043996,-0.149122,0.074779,-0.005452,0.008914,0.525066,0.002900,0.010694,-0.071188,-0.104630,0.511930,-0.054711,-1.841212,-0.102005,0.456703,0.248416,0.576338,2.488617,-2.248234,-0.746463,0.769711,1.440390,1.209118,-1.290711,0.000028,-0.000263,-0.002268,0.004708,-0.003248,0.006653,-0.000775,-0.000778,-0.000775,-0.000771,0.000599,0.060100
0.776680,-0.136551,0.081367,0.014547,-0.009380,0.525060,0.043997,-0.149124,0.074779,-0.005452,0.008914,0.525066,0.002898,0.010694,-0.071189,-0.104632,0.511931,-0.054711,-1.841209,-0.101999,0.456708,0.248413,0.576339,2.488617,-2.248234,-0.746462,0.769712,1.440372,1.209115,-1.290689,0.000071,0.002007,0.002020,0.002294,0.001497,0.002125,-0.000775,-0.000778,-0.000776,-0.000771,0.000599,0.060106
0.778684,-0.136552,0.081367,0.014545,-0.009380,0.525060,0.043997,-0.149125,0.074779,-0.005453,0.008915,0.525066,0.002896,0.010695,-0.071190,-0.104633,0.511931,-0.054711,-1.841207,-0.101993,0.456713,0.248411,0.576340,2.488620,-2.248237,-0.746457,0.769712,1.440353,1.209115,-1.290632,0.000016,0.000890,0.002554,-0.002579,0.000457,-0.006992,-0.000775,-0.000778,-0.000775,-0.000771,0.000599,0.060111
0.780673,-0.136552,0.081367,0.014546,-0.009381,0.525060,0.043997,-0.149127,0.074779,-0.005453,0.008916,0.525066,0.002894,0.010696,-0.071191,-0.104635,0.511930,-0.054711,-1.841204,-0.101988,0.456718,0.248409,0.576341,2.488624,-2.248239,-0.746450,0.769714,1.440324,1.209112,-1.290615,0.000141,-0.002909,0.000088,-0.003701,-0.004853,-0.009322,-0.000774,-0.000778,-0.000775,-0.000771,0.000598,0.060117
0.782681,-0.136552,0.081367,0.014546,-0.009381,0.525060,0.043997,-0.149127,0.074779,-0.005453,0.008916,0.525066,0.002894,0.010696,-0.071191,-0.104635,0.511930,-0.054711,-1.841204,-0.101988,0.456718,0.248409,0.576341,2.488624,-2.248239,-0.746450,0.769714,1.440324,1.209112,-1.290615,0.000141,-0.002909,0.000088,-0.003701,-0.004853,-0.009322,-0.000774,-0.000778,-0.000775,-0.000771,0.000598,0.060117
0.784671,-0.136552,0.081367,0.014546,-0.009381,0.525060,0.043997,-0.149127,0.074779,-0.005453,0.008916,0.525066,0.002894,0.010696,-0.071191,-0.104635,0.511930,-0.054711,-1.841204,-0.101988,0.456718,0.248409,0.576341,2.488624,-2.248239,-0.746450,0.769714,1.440324,1.209112,-1.290615,0.000141,-0.002909,0.000088,-0.003701,-0.004853,-0.009322,-0.000774,-0.000778,-0.000775,-0.000771,0.000598,0.060117
0.786674,-0.136552,0.081367,0.014546,-0.009381,0.525060,0.043997,-0.149127,0.074779,-0.005453,0.008916,0.525066,0.002894,0.010696,-0.071191,-0.104635,0.511930,-0.054711,-1.841204,-0.101988,0.456718,0.248409,0.576341,2.488624,-2.248239,-0.746450,0.769714,1.440324,1.209112,-1.290615,0.000141,-0.002909,0.000088,-0.003701,-0.004853,-0.009322,-0.000774,-0.000778,-0.000775,-0.000771,0.000598,0.060117
0.788673,-0.136552,0.081367,0.014546,-0.009381,0.525060,0.043997,-0.149127,0.074779,-0.005453,0.008916,0.525066,0.002894,0.010696,-0.071191,-0.104635,0.511930,-0.054711,-1.841204,-0.101988,0.456718,0.248409,0.576341,2.488624,-2.248239,-0.746450,0.769714,1.440324,1.209112,-1.290615,0.000141,-0.002909,0.000088,-0.003701,-0.004853,-0.009322,-0.000774,-0.000778,-0.000775,-0.000771,0.000598,0.060117
